最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,市盈率-动态,量比,股票代码,股票名称,最高,最低,今开,昨收,市净率,ISO时间
43.86,43.99,13.4,19228.0,83849241.0,24.0,7.4,22.61,,1228,N永泰运,43.86,36.55,36.55,30.46,3.18,2022-05-02 04:01:30
63.6,40.93,18.47,107048.0,604276640.0,31.91,63.66,212.53,,301162,N国能,63.6,49.2,50.0,45.13,4.68,2022-05-02 04:01:30
3.34,20.14,0.56,490075.0,157620450.0,12.59,6.84,7.59,2.16,300117,嘉寓股份,3.34,2.99,2.99,2.78,13.38,2022-05-02 04:01:30
6.1,20.08,1.02,204383.0,117899602.0,20.87,6.55,-20.05,2.58,300464,星徽股份,6.1,5.04,5.04,5.08,4.96,2022-05-02 04:01:30
13.78,20.03,2.3,864650.0,1139488400.0,17.86,13.74,-54.79,1.9,300199,翰宇药业,13.78,11.73,11.73,11.48,8.12,2022-05-02 04:01:30
19.0,20.03,3.17,697246.0,1226333840.0,18.95,30.26,144.56,1.36,300049,福瑞股份,19.0,16.0,16.01,15.83,3.27,2022-05-02 04:01:30
43.6,20.01,7.27,19238.0,78640660.0,18.17,12.66,45.34,1.11,301110,青木股份,43.6,37.0,37.5,36.33,2.08,2022-05-02 04:01:30
97.8,20.0,16.3,16756.0,151169883.0,18.1,7.3,47.35,3.29,688800,瑞可达,97.8,83.05,87.9,81.5,10.03,2022-05-02 04:01:30
50.34,20.0,8.39,119145.0,534298608.0,28.7,61.59,66.1,0.96,301163,宏德股份,50.34,38.3,41.2,41.95,3.88,2022-05-02 04:01:30
27.24,20.0,4.54,15749.0,41575120.0,16.04,7.87,34.16,1.51,301119,正强股份,27.24,23.6,23.6,22.7,2.75,2022-05-02 04:01:30
43.86,43.99,13.4,19228.0,83849241.0,24.0,7.4,22.61,,1228,N永泰运,43.86,36.55,36.55,30.46,3.18,2022-05-02 04:03:38
63.6,40.93,18.47,107048.0,604276640.0,31.91,63.66,212.53,,301162,N国能,63.6,49.2,50.0,45.13,4.68,2022-05-02 04:03:38
3.34,20.14,0.56,490075.0,157620450.0,12.59,6.84,7.59,2.16,300117,嘉寓股份,3.34,2.99,2.99,2.78,13.38,2022-05-02 04:03:38
6.1,20.08,1.02,204383.0,117899602.0,20.87,6.55,-20.05,2.58,300464,星徽股份,6.1,5.04,5.04,5.08,4.96,2022-05-02 04:03:38
13.78,20.03,2.3,864650.0,1139488400.0,17.86,13.74,-54.79,1.9,300199,翰宇药业,13.78,11.73,11.73,11.48,8.12,2022-05-02 04:03:38
19.0,20.03,3.17,697246.0,1226333840.0,18.95,30.26,144.56,1.36,300049,福瑞股份,19.0,16.0,16.01,15.83,3.27,2022-05-02 04:03:38
43.6,20.01,7.27,19238.0,78640660.0,18.17,12.66,45.34,1.11,301110,青木股份,43.6,37.0,37.5,36.33,2.08,2022-05-02 04:03:38
97.8,20.0,16.3,16756.0,151169883.0,18.1,7.3,47.35,3.29,688800,瑞可达,97.8,83.05,87.9,81.5,10.03,2022-05-02 04:03:38
50.34,20.0,8.39,119145.0,534298608.0,28.7,61.59,66.1,0.96,301163,宏德股份,50.34,38.3,41.2,41.95,3.88,2022-05-02 04:03:38
27.24,20.0,4.54,15749.0,41575120.0,16.04,7.87,34.16,1.51,301119,正强股份,27.24,23.6,23.6,22.7,2.75,2022-05-02 04:03:38
43.86,43.99,13.4,19228.0,83849241.0,24.0,7.4,22.61,,1228,N永泰运,43.86,36.55,36.55,30.46,3.18,2022-05-02 04:06:32
63.6,40.93,18.47,107048.0,604276640.0,31.91,63.66,212.53,,301162,N国能,63.6,49.2,50.0,45.13,4.68,2022-05-02 04:06:32
3.34,20.14,0.56,490075.0,157620450.0,12.59,6.84,7.59,2.16,300117,嘉寓股份,3.34,2.99,2.99,2.78,13.38,2022-05-02 04:06:32
6.1,20.08,1.02,204383.0,117899602.0,20.87,6.55,-20.05,2.58,300464,星徽股份,6.1,5.04,5.04,5.08,4.96,2022-05-02 04:06:32
13.78,20.03,2.3,864650.0,1139488400.0,17.86,13.74,-54.79,1.9,300199,翰宇药业,13.78,11.73,11.73,11.48,8.12,2022-05-02 04:06:32
19.0,20.03,3.17,697246.0,1226333840.0,18.95,30.26,144.56,1.36,300049,福瑞股份,19.0,16.0,16.01,15.83,3.27,2022-05-02 04:06:32
